English,Easting,Northing
Penzance,147588,30599
St Ives (Cornwall),151947,40127
Carbis Bay,152930,38745
St Erth,154150,35730
Lelant Saltings,154430,36640
Lelant,154770,37220
Hayle,155970,37325
Camborne,164830,39696
Arisaig,166400,786700
Mallaig,167560,797060
Morar,167800,793000
Redruth,170040,42009
Beasdale,170900,785000
Kyle of Lochalsh,176247,827123
Lochailort,176900,782600
Duirinish,177845,831521
Penryn,177900,34710
Perranwell,178080,39810
Plockton,179450,832950
Penmere,179835,32360
Falmouth Town,181130,32085
Duncraig,181207,833239
Newquay,181590,61770
Truro,181667,44924
Falmouth Docks,181777,32322
Quintrell Downs,184890,60405
Oban,185795,729888
Stromeferry,186467,834667
Glenfinnan,189870,780970
Milford Haven,190026,206183
St Columb Road,191100,59560
Connel Ferry,191470,734050
Attadale,192456,839125
Johnston (Pembrokeshire),193300,210700
Strathcarron,194231,842124
Fishguard & Goodwick,194535,238200
Fishguard Harbour,195200,239000
Haverfordwest,196000,215700
Pembroke Dock,197040,203550
Roche,199040,61460
Pembroke,199160,201130
Locheilside,199500,778600
Achnashellach,200290,848440
Taynuilt,200340,731220
Lamphey,201400,200400
Clarbeston Road,201500,220940
St Austell,201611,52565
Bugle,201670,59335
Luxulyan,204805,58070
Loch Eil Outward Bound,205500,778300
Stranraer,206200,561400
Manorbier,207000,199400
Par,207700,54100
Falls of Cruachan,207990,726750
Corpach,209680,776720
Fort William,210531,774186
Lostwithiel,210660,59765
Bodmin Parkway,211030,64058
Banavie,211300,776700
Penally,211820,199080
Clunderwen,211900,219300
Narberth,212050,214710
Loch Awe,212380,727460
Saundersfoot,212460,206090
Kilgetty,212600,207200
Tenby,212940,200600
Dalmally,215980,727210
Achnasheen,216403,858519
Girvan,219030,598380
Wemyss Bay,219360,668550
Whitland,219900,216500
Largs,220344,659215
Inverkip,220530,671840
West Kilbride,220870,648430
Fairlie,221030,654640
Spean Bridge,222120,781430
Ardrossan Harbour,222540,642090
Barrhill,222600,581600
Ardrossan Town,223070,642050
IBM (Greenock),223470,674320
Ardrossan South Beach,223799,642211
Coombe Junction Halt (Rail Station),223885,63619
Garelochhead,224250,691050
Gourock,224280,677950
Liskeard,224760,63695
Holyhead,224800,382200
Causeland,224830,59110
Saltcoats,224830,641330
Sandplace,224900,57000
Branchton,225000,675500
St Keyne Wishing Well Halt (Rail Station),225102,61032
Looe,225390,53920
Fort Matilda,225600,677530
Achanalt,226020,861473
Drumfrochar,226800,675500
Stevenston,226940,641290
Roy Bridge,227250,781030
Greenock West,227260,676160
Greenock Central,228200,675900
Whinhill,228540,675110
Menheniot,228970,61260
Valley,229200,379100
Cartsdyke,229500,675500
Kilwinning,229600,643600
Helensburgh Central,229700,682400
Dalry,229752,649195
Maybole,229860,610030
Helensburgh Upper,229920,683300
Bridge of Orchy,230100,739400
Bogston,230738,674875
Craigendoran,231000,681300
Arrochar & Tarbet,231200,704600
Irvine,231600,638500
Ardlui,231700,715500
Port Glasgow,232070,674430
Glengarnock,232190,652740
Lochluichart,232335,862562
Troon,232560,630880
Tyndrum Lower,232700,730100
Rhosneigr,232800,373800
Barassie,232900,632900
Upper Tyndrum,233390,730220
Ayr,234060,621390
Newton-on-Ayr,234130,623160
Woodhall,234210,674090
Cardross,234480,677330
Ty Croes,234882,372360
Prestwick,234920,626210
Prestwick Intl Airport,235013,627024
Tulloch,235510,780240
Corrour,235620,766410
St Germans,236020,57480
Lochwinnoch,236060,657970
Ferryside,236600,210400
Pwllheli,237500,335000
Crianlarich,238460,725100
Langbank,238562,673180
Bodorgan,238600,370200
Renton,238700,678290
Balloch,239000,681900
Dalreoch,239120,675710
Alexandria,239300,679900
Howwood (Renfrewshire),239480,660450
Garve,239500,861300
Dumbarton Central,239800,675600
Kidwelly,240100,206500
Abererch,240400,336100
Dumbarton East,240580,675080
Kilmaurs,240816,641088
Dunlop,241000,649400
Carmarthen,241280,219710
Milliken Park,241400,662000
Stewarton,241780,646060
