English,Gaelic
Aberdeen,Obar Dheathain
Aberdour,Obar Dhobhair
Achanalt,Achan nan Allt
Achnasheen,Achadh na Sìne
Achnashellach,Achadh nan Seileach
Addiewell,Tobar Adaidh
Airbles,  n/a
Airdrie,An t-Àrd-Ruigh
Alexandra Parade,Pairèad Alexandra
Alexandria,  n/a
Alloa,Alamhagh
Alness,Alanais
Altnabreac,Allt nam Breac
Anderston,  n/a
Annan,Anainn
Anniesland,Fearann Anna
Arbroath,Obar Bhrothaig
Ardgay,Àird Gaoith
Ardlui,Àird Laoigh
Ardrossan Harbour,Caladh Àird Rosain
Ardrossan South Beach,Tràigh a Deas Àird Rosain
Ardrossan Town,Baile Àird Rosain
Argyle Street,Sràid Earra-Ghàidheal
Arisaig,Àrasaig
Armadale,Armadal
Arrochar & Tarbet,An t-Archar & An Tairbeart
Ashfield,Achadh an Uinnsinn
Attadale,Atadal
Auchinleck,Achadh nan Leac
Aviemore,An Aghaidh Mhor
Ayr,Inbhir Air
Baillieston,  n/a
Balloch,Am Bealach
Balmossie,Baile Mosaidh
Banavie,Banbhaidh
Barassie,Bàrr Fhasaidh
Bargeddie,Bàrr Geadaidh
Barnhill,Cnoc an t-Sabhail
Barrhead,Cnoc a' Bharra
Barrhill,Am Bàrr
Barry Links,Machair Bharraidh
Bathgate,  n/a
Bearsden,  n/a
Beasdale,Biasdail
Beauly,A' Mhanachainn
Bellgrove,  n/a
Bellshill,  n/a
Bishopbriggs,Drochaid an Easbaig
Bishopton,Baile an Easbaig
Blackridge,An Druim Dubh
Blair Atholl,Blàr Athall
Blairhill,  n/a
Blantyre,Blantaidhr
Bogston,  n/a
Bowling,Bolan
Branchton,  n/a
Breich,Brìch
Bridge of Allan,Drochaid Ailein
Bridge of Orchy,Drochaid Urchaidh
Bridgeton,Baile na Drochaid
Brora,Brùra
Broughty Ferry,Port Bhruachaidh
Brunstane,  n/a
Burnside,Taobh an Uillt
Burntisland,An t-Eilean Loisgte
Busby,  n/a
Caldercruix,  n/a
Cambuslang,Camas Lang
Camelon,Camalan
Cardenden,  n/a
Cardonald,Cair Dhòmhnaill
Cardross,Càrdanros
Carfin,An Càrn Fionn
Carluke,Cathair MoLuaig
Carmyle,Cair Maol
Carnoustie,Càrn Ùstaidh
Carntyne,Càrn-Tìn
Carrbridge,Drochaid Chàrr
Carstairs,Caisteal Tarrais
Cartsdyke,  n/a
Cathcart,  n/a
Charing Cross,  n/a
Chatelherault,  n/a
Clarkston,  n/a
Cleland,  n/a
Clydebank,Bruach Chluaidh
Coatbridge Central,Coatbridge Meadhain
Coatbridge Sunnyside,  n/a
Coatdyke,  n/a
Connel Ferry,Aiseag na Coingheil
Conon Bridge,Drochaid Sguideil
Corkerhill,  n/a
Corpach,A' Chorpaich
Corrour,An Coire Odhar
Cowdenbeath,  n/a
Craigendoran,Creag an Dòbhrain
Crianlarich,A'Chrion-Làraich
Croftfoot,Bun na Croite
Crookston,  n/a
Crosshill,Cnoc na Croise
Crossmyloof,Crois MoLiubha
Croy,Crothaidh
Culrain,Cùil Rathain
Cumbernauld,Comar nan Allt
Cupar,  n/a
Curriehill,Cnoc Churraich
Dalgety Bay,Bàgh Dhealgadaidh
Dalmally,Dail Mhàilidh
Dalmarnock,Dail Meàrnaig
Dalmeny,Dùn Mheinidh
Dalmuir,An Dail Mhòr
Dalreoch,An Dail Riabhach
Dalry,Dail Fhraoich
Dalwhinnie,Dail Chuinnidh
Dingwall,Inbhir Pheofharain
Drem,An Druim
Drumchapel,Druim a’ Chaibeil
Drumfrochar,Druim Fhraochair
Drumgelloch,Druim Gailleach
Drumry,Druim Rìgh
Duirinish,Diùranais
Duke Street,Sràid an Diùic
Dumbarton Central,Dùn Breatann Meadhain
Dumbarton East,Dùn Breatann an Ear
Dumbreck,An Dùn Breac
Dumfries,Dùn Phris
Dunbar,Dùn Bàrr
Dunblane,Dùn Bhlàthain
Duncraig,Dùn na Creige
Dundee,Dùn Dè
Dunfermline Queen Margaret,Dùn Phàrlain Banrigh Mairead
Dunfermline Town,Baile Dhùn Phàrlain
Dunkeld & Birnam,Dùn Chailleann & Braonan
Dunlop,Dùn Lob
Dunrobin Castle,Caisteal Dhùn Robain
Dyce,Deis
East Kilbride,Cille Bhrìghde an Ear
Easterhouse,An Taigh Sear
Edinburgh Park,Pàirc Dhùn Èideann
Edinburgh Gateway,Slighe Dhùn Èideann
Edinburgh Waverley,
Elgin,Eilginn
Eskbank,Bruach Easg
Exhibition Centre,Ionad Taisbeanaidh
Fairlie,Fairlidh
Falkirk Grahamston,Baile a'Ghreumaich
Falkirk High,Bràighe na h-Eaglaise Brice
Falls of Cruachan,Eas Chruachain
Fauldhouse,  n/a
Fearn,Manachainn Rois
Forres,Farrais
Forsinard,Fors An-Àird
Fort Matilda,Gearastan Matilda
Fort William,An Gearasdan
Galasheils,  n/a
Garelochhead,Ceann a’ Gheàrrloch
Garrowhill,  n/a
Garscadden,Gart Sgadain
Gartcosh,Gart a' Chòis
Garve,Gairbh
Georgemas Junction,Snaidhm Georgemas
Giffnock,Giofnag
Gilshochill,  n/a
Girvan,Inbhir Gharbhain
Glasgow Central,Glaschu Mheadhain
Glasgow Queen Street,Sràid na Banrighinn
Gleneagles,Gleann Eagas
Glenfinnan,Gleann Fhionnainn
Glengarnock,Gleann Gairneag
Glenrothes with Thornton,Gleann Rathais le Thornton
Golf Street,Sràid a' Ghoilf
Golspie,Goillspidh
Gorebridge,  n/a
Gourock,Gurraig
Greenfaulds,A' Bhuaile Ghlas
Greenock Central,Grianaig Mheadhain
Greenock West,Grianaig an Iar
Gretna Green,  n/a
Hairmyres,  n/a
Hamilton Central,Hamaltan Mheadhain
Hamilton West,Hamaltan an Iar
Hartwood,Coille an Daimh
Hawkhead,  n/a
Haymarket,Margadh an Fheòir
Helensburgh Central,Baile Eilidh Meadhain
Helensburgh Upper,Baile Eilidh Àrd
Helmsdale,Bun Ilidh
High Street,Àrd-Shràid
Hillfoot,Bun a' Chnuic
Hillington East,Hillington an Ear
Hillington West,Hillington an Iar
Holytown,Baile a' Chuilinn
Howwood,  n/a
Huntly,Hunndaidh
Hyndland,  n/a
IBM,  n/a
Insch,Innis
Invergordon,Inbhir Ghòrdain
Invergowrie,Inbhir Ghobhraidh
Inverkeithing,Inbhir Chèitinn
Inverkip,Inbhir Chip
Inverness,Inbhir Nis
Invershin,Inbhir Sin
Inverurie,Inbhir Uaraidh
Irvine,Irbhinn
Johnstone,Baile Iain
Jordanhill,Cnoc Iòrdain
Keith,Baile Chè
Kelvindale,Dail Cheilbhinn
Kennishead,  n/a
Kildonan,Cill Donnain
Kilmarnock,Cill Mheàrnaig
Kilmaurs,Cill Mhàrais
Kilpatrick,Cill Phàdraig
Kilwinning,Cill D’Fhinnein
Kinbrace,Ceann a' Bhràiste
Kinghorn,Ceann Gronn
Kings Park,Pàirc an Rìgh
Kingsknowe,Cnoc an Rìgh
Kingussie,Ceann a’ Ghiùthsaich
Kirkcaldy,Cair Chaladain
Kirkconnel,Cille Chonbhaill
Kirkhill,Cnoc na Cille
Kirknewton,Eaglais a' Bhaile Ùir
Kirkwood,Coille na Cille
Kyle of Lochalsh,Caol Loch Aillse
Ladybank,  n/a
Lairg,Luirg
Lanark,Lannraig
Langbank,A’ Bhruach Fhada
Langside,An Leathad Fada
Larbert,Leth-Pheairt
Largs,An Leargaidh
Larkhall,Taigh na h-Uiseig
Laurencekirk,Eaglais Labhrainn
Lenzie,Lèanaidh
Leuchars,Luacharas
Linlithgow,Gleann Iucha
Livingston North,Baile Dhunlèibhe a Tuath
Livingston South,Baile Dhunlèibhe a Deas
Loch Awe,Loch Obha
Lochailort,Loch Ailleart
Loch Eil Outward Bound,Loch Iall airson Spòrs A-Muigh
Locheilside,Taobh Loch Iall
Lochgelly,Loch Geallaidh
Lochluichart,Loch Laoicheart
Lochwinnoch,Loch Uinneach
Lockerbie,Locarbaidh
Longniddry,  n/a
Mallaig,Malaig
Markinch,Marc-Innis
Maryhill,Cnoc Màiri
Maxwell Park,Pàirc Maxwell
Maybole,  n/a
Merryton,  n/a
Milliken Park,Pàirc Mhaolagain
Milngavie,Muileann-Gaidh
Monifieth,Monadh Fotha
Montrose,Mon Rois
Morar,Mòrar
Mosspark,Pàirc na Mòna
Motherwell,Tobar na Màthar
Mount Florida,Cnoc Florida
Mount Vernon,  n/a
Muir Of Ord,Am Blàr Dubh
Muirend,Ceann an t-Slèibh
Musselburgh,Baile nam Feusgan
Nairn,Inbhir Narann
Neilston,Baille Nèill
New Cumnock,Cumnag Nuadh
Newcraighall,Talla na Creige Nuadh
Newton,Am Baile Ùr
Newtongrange,  n/a
Newtonmore,Baile Ùr an t-Slèibh
Newton-on-Ayr,Baile Ùr na h-Aibhne
Nitshill,  n/a
North Berwick,Bearaig a Tuath
North Queensferry,Port na Banrighinn
Oban,An t-Òban
Paisley Canal,Canàl Phàislig
Paisley Gilmour Street,Sràid GhilleMhoire Phàislig
Paisley St James,Eaglais Sheumais Phàislig
Partick,Partaig
Patterton,  n/a
Perth,Peairt
Pitlochry,Baile Chloichridh
Plockton,Am Ploc
Pollokshaws East,Pollokshaws an Ear
Pollokshaws West,Pollokshaws an Iar
Pollokshields East,Pollokshields an Ear
Pollokshields West,Pollokshields an Iar
Polmont,Poll-Mhonadh
Port Glasgow,Port Ghlaschu
Portlethen,Port Leathain
Possilpark & Parkhouse,Pàirc Phosail & Taigh na Pàirce
Prestonpans,  n/a
Prestwick International Airport,
Prestwick Town,Baile Phreastabhaig
Priesthill & Darnley,Cnoc an t-Sagairt & Darnley
Queens Park,Pàirc na Banrighinn
Rannoch,Raineach
Renton,  n/a
Rogart,Sgìre Raoird
Rosyth,Ros Fhìobh
Roy Bridge,Drochaid Ruaidh
Rutherglen,An Ruadh-Ghleann
Saltcoats,  n/a
Sanquhar,Seanchair
Scotscalder,Caladal nan Gall
Scotstounhill,Cnoc Scotstoun
Shawfair,  n/a
Shawlands,  n/a
Shettleston,Baile Nighean Sheadna
Shieldmuir,  n/a
Shotts,  n/a
Singer,  n/a
Slateford,Àth na Sglèata
South Gyle,Gyle a Deas
Spean Bridge,Drochaid an Aonachain
Springburn,Allt an Fhuarain
Springfield,  n/a
Stepps,  n/a
Stevenston,Baile Steaphain
Stewarton,Baile nan Stiùbhartach
Stirling,Sruighlea
Stonehaven,  n/a
Stow,  n/a
Stranraer,An t-Sròn Reamhar
Strathcarron,Srath Carrann
Stromeferry,Port an t-Sròim
Summerston,  n/a
Tain,Baile Dhubhthaich
Taynuilt,Taigh an Uillt
Thornliebank,  n/a
Thorntonhall,  n/a
Thurso,Inbhir Theòrsa
Troon,An Truthail
Tulloch,Tulaich
Tweedbank,Bruach Thuaidh
Tyndrum Lower,Taigh an Droma Ìochdrach
Uddingston,  n/a
Uphall,  n/a
Upper Tyndrum,Taigh an Droma Uachdrach
Wallyford,  n/a
Wemyss Bay,Bàgh nan Uaimhean
West Calder,Caladar an Iar
West Kilbride,Cille Bhrìghde an Iar
Wester Hailes,Hailes an Iar
Westerton,Am Baile Siar
Whifflet,  n/a
Whinhill,Cnoc a’ Chonaisg
Whitecraigs,An Creagan Bàn
Wick,Inbhir Ùige
Williamwood,Coille Uilleim
Wishaw,  n/a
Woodhall,Taigh na Coille
Yoker,An Eochair
